id,facility_id,zone_id,total_slots,occupied_slots,available_slots,occupancy_percentage,collected_at,time_hour,time_dayofweek,time_week,time_month,time_quarter,time_is_weekend,time_is_business_hour,time_is_peak_hour,time_is_holiday,time_since_last_update,prev_occupancy,occupancy_lag_1,occupancy_lag_2,occupancy_lag_3,occupancy_lag_4,occupancy_lag_12,occupancy_lag_24,occupancy_diff,occupancy_growth_rate,occupancy_roll_mean_3,occupancy_roll_max_3,occupancy_roll_min_3,occupancy_roll_mean_6,occupancy_roll_max_6,occupancy_roll_min_6,occupancy_roll_mean_12,occupancy_roll_max_12,occupancy_roll_min_12,occupancy_roll_mean_24,occupancy_roll_max_24,occupancy_roll_min_24,occupancy_trend
10,1,ZONE-A,100,69,31,69.0,2026-07-30 03:51:47.823080+00:00,3,3,31,7,3,0,0,0,0,0.0,,,,,,,,,2.9765232389183067,1.3695794887719266,1.1281521496355313,1.5666989036012806,1.3242443839434612,0.7071067811865475,1.5666989036012806,1.5666989036012806,0.0,1.5666989036012806,1.5666989036012806,0.0,1.5666989036012806,1.1281521496355322
9,1,ZONE-A,100,68,32,68.0,2026-07-30 04:01:47.823080+00:00,4,3,31,7,3,0,0,0,0,600.0,69.0,1.5491933384829668,,,,,,0.0,-0.13407827988940002,1.181965860173033,1.1281521496355313,1.2185435916898848,1.0834726777719228,0.7071067811865475,1.2185435916898848,1.2185435916898848,0.0,1.2185435916898848,1.2185435916898848,0.0,1.2185435916898848,1.1281521496355322
8,1,ZONE-A,100,67,33,67.0,2026-07-30 04:11:47.823080+00:00,4,3,31,7,3,0,0,0,0,600.0,68.0,1.161895003862225,1.5275252316519468,,,,,0.0,-0.17982241987186623,0.9943522315741391,1.1281521496355313,0.8703882797784892,0.8427009716003844,0.7071067811865475,0.8703882797784892,0.8703882797784892,0.0,0.8703882797784892,0.8703882797784892,0.0,0.8703882797784892,1.1281521496355322
7,1,ZONE-A,100,66,34,66.0,2026-07-30 04:21:47.823080+00:00,4,3,31,7,3,0,0,0,0,600.0,67.0,0.7745966692414834,1.091089451179962,1.5,,,,0.0,-0.226932056570227,0.6191249743763516,0.7252406676228412,0.5222329678670935,0.601929265428846,0.7071067811865475,0.5222329678670935,0.5222329678670935,0.0,0.5222329678670935,0.5222329678670935,0.0,0.5222329678670935,0.7252406676228421
6,1,ZONE-A,100,65,35,65.0,2026-07-30 04:31:47.823080+00:00,4,3,31,7,3,0,0,0,0,600.0,66.0,0.3872983346207417,0.6546536707079772,1.0,1.4638501094227998,,,0.0,-0.2754692580170231,0.24389771717856404,0.322329185610151,0.17407765595569785,0.3611575592573076,0.7071067811865475,0.17407765595569785,0.17407765595569785,0.0,0.17407765595569785,0.17407765595569785,0.0,0.17407765595569785,0.322329185610152
5,1,ZONE-A,100,64,36,64.0,2026-07-30 04:41:47.823080+00:00,4,3,31,7,3,0,0,0,0,600.0,65.0,0.0,0.2182178902359924,0.5,0.8783100656536799,,,0.0,-0.3254999118160283,-0.1313295400192235,-0.08058229640253918,-0.17407765595569785,0.1203858530857692,0.7071067811865475,-0.17407765595569785,-0.17407765595569785,0.0,-0.17407765595569785,-0.17407765595569785,0.0,-0.17407765595569785,-0.0805822964025381
4,1,ZONE-A,100,63,37,63.0,2026-07-30 04:51:47.823080+00:00,4,3,31,7,3,0,0,0,0,600.0,64.0,-0.3872983346207417,-0.2182178902359924,0.0,0.29277002188455997,,,0.0,-0.3770940235462521,-0.5065567972170111,-0.4834937784152294,-0.5222329678670935,-0.3611575592573076,0.0,-0.5222329678670935,-0.5222329678670935,0.0,-0.5222329678670935,-0.5222329678670935,0.0,-0.5222329678670935,-0.4834937784152282
3,1,ZONE-A,100,62,38,62.0,2026-07-30 05:01:47.823080+00:00,5,3,31,7,3,0,0,0,0,600.0,63.0,-0.7745966692414834,-0.6546536707079772,-0.5,-0.29277002188455997,,,0.0,-0.43032604358537185,-0.8817840544147986,-0.8864052604279196,-0.8703882797784892,-0.8427009716003844,-0.7071067811865475,-0.8703882797784892,-0.8703882797784892,0.0,-0.8703882797784892,-0.8703882797784892,0.0,-0.8703882797784892,-0.8864052604279183
2,1,ZONE-A,100,61,39,61.0,2026-07-30 05:11:47.823080+00:00,5,3,31,7,3,0,0,0,0,600.0,62.0,-1.161895003862225,-1.091089451179962,-1.0,-0.8783100656536799,,,0.0,-0.48527522556123776,-1.257011311612586,-1.2893167424406098,-1.2185435916898848,-1.3242443839434612,-1.414213562373095,-1.2185435916898848,-1.2185435916898848,0.0,-1.2185435916898848,-1.2185435916898848,0.0,-1.2185435916898848,-1.2893167424406085
1,1,ZONE-A,100,60,40,60.0,2026-07-30 05:21:47.823080+00:00,5,3,31,7,3,0,0,0,0,600.0,61.0,-1.5491933384829668,-1.5275252316519468,-1.5,-1.4638501094227998,,,0.0,-0.5420260200609027,-1.6322385688103738,-1.6922282244533,-1.5666989036012806,-1.805787796286538,-2.1213203435596424,-1.5666989036012806,-1.5666989036012806,0.0,-1.5666989036012806,-1.5666989036012806,0.0,-1.5666989036012806,-1.6922282244532987
